No.,種類（1.読み 2.表外読み 3.熟語一字訓 4.書き取り 5.四字熟語 6.対義語類義語 7.故事諺）,問題,問題例,解答,備考,正解数,間違い数
17,5,ちゅうりゅうのしちゅう,<ちゅうりゅうのしちゅう>,中流砥柱,苦しく辛い状況でも動じずに節操を守る人のたとえ。「中流」は川の流れの激しい場所。「砥柱」は中国の黄河の中にそびえ立つ滑らかな岩の名前。砥柱は激しい流れの川の中でも堂々と立っていることから。,2,0
28,5,しっしんどんたん,<しっしんどんたん>,漆身呑炭,仇討ちや復讐をするために、非常に苦労すること。「漆身」は漆を身体に塗る、「呑炭」は炭を呑むこと。,1,0
29,5,こうがんあいめい,<こうがんあいめい>,鴻雁哀鳴,離散してさまよう民が、苦労や窮状を訴えることのたとえ。鴻（おおとり）と雁（”がん”または”かり”）を流浪の民をたとえたもの。,1,0
30,5,きゅうていたいりょ,<きゅうていたいりょ>,九鼎大呂,貴重な物や重要な地位のたとえ。,1,0
31,5,えんぼくけいちん,<えんぼくけいちん>,円木警枕,苦労を厭わずに勉学に励むたとえ。,1,0
32,5,じょうりんぼんかい,<じょうりんぼんかい>,常鱗凡介,普通の人のたとえ。,1,0
44,5,ばくしゅうしょり,<ばくしゅうしょり>,麦秀黍離,亡国の嘆き。麦の穂や黍が繁る意。,1,0
45,5,ちらんこうぼう,<ちらんこうぼう>,治乱興亡,世の中がよく治まることと、乱れて滅びること。,0,0
46,5,きんけんりっこう,<きんけんりっこう>,勤倹力行,仕事に励み、倹約し、精一杯努力すること。,0,0
47,5,ふくりょうほうすう,<ふくりょうほうすう>,伏竜鳳雛,臥竜鳳雛。優れた才能を持ちながらまだ世に知られていない大人物。また将来有望な若者のたとえ。,0,0
48,5,さんそうぞうしつ,<さんそうぞうしつ>,山藪蔵疾,大人物は多少の欠点はあっても、あらゆる人を包含する度量の広さがあること。,0,0
49,5,せいえいてんかい,<せいえいてんかい>,精衛塡海,実現不可能な計画を立てて失敗し、無駄な努力となること。または、いつまでたっても悔やんでいること。「精衛」は伝説上の小鳥の名前。「塡海」は海を埋めること。伝説上の皇帝炎帝の娘である女娃は東海で溺れ死んだ。女娃は伝説上の小鳥「精衛」に化身し、自身の死んだ東海を小石や小枝などで埋めようとしたが、失敗に終わったという故事から。,0,0
50,5,ばいさいかくし,<ばいさいかくし>,梅妻鶴子,俗世を離れた清らかで風流な隠遁生活のこと。妻のかわりに梅の木を、子のかわりに鶴を愛でて、一人で清らかに風雅に暮らしたという故事から。,0,0
51,5,よばふうち,<よばふうち>,輿馬風馳,速度が並外れて速いことのたとえ。「輿馬」は乗り物と馬のこと。「風馳」は風のように速く走ること。,0,0
52,5,こししゅきゅう,<こししゅきゅう>,狐死首丘,生まれ育った地を忘れないことのたとえ。または、物事の根本を忘れないことのたとえ。狐は、死ぬときに生まれ育った丘に頭を向けて死ぬということから。,0,0
53,5,しんくそうほう,<しんくそうほう>,辛苦遭逢,非常に辛く苦しい出来事にあうこと。,0,0
54,5,りゅうちょうこが,<りゅうちょうこが>,竜跳虎臥,筆づかいが縦横自在なこと。,0,0
55,5,ごどういちよう,<ごどういちよう>,梧桐一葉,物事が衰える前兆のこと。「梧桐」は植物のあおぎりのこと。あおぎりは他の木よりも早く葉が落ちるとされ、あおぎりの葉が一枚落ちるのを見て、秋が来ることを知るという意味から。,0,0
56,5,とまつししょ,<とまつししょ>,塗抹詩書,幼児のこと。また、幼児のいたずらのたとえ。,0,0
57,5,てつもうさんご,<てつもうさんご>,鉄網珊瑚,珍しい品物や、素晴らしい才能をもつ人物を得るために探すこと。海の底に鉄の網を沈めて、それに着生させ、成長したあとに引き上げて珊瑚を採取するという、唐の時代に東ローマ帝国で行われたとされる方法から。,1,0
58,5,かんざんじっとく,<かんざんじっとく>,寒山拾得,中国の唐の時代の二人の高僧で、文殊菩薩と普賢菩薩の生まれ変わりとされている、寒山と拾得のこと。,0,0
59,5,たいえきのふよう,<たいえきのふよう>,太液芙蓉,美人の顔のたとえ。「太液」は漢代には未央宮の北にあった池の名前のこと。「芙蓉」は蓮の花のこと。,0,0
74,5,てんじょうむきゅう,<てんじょうむきゅう>,天壌無窮,いつまでも終わることなく、天と地と共に続いていくこと。,0,0
75,5,はいしゅかいえん,<はいしゅかいえん>,杯酒解怨,杯を酌み交わして、怨みを忘れるという意味。,0,0
76,5,でいしゃがこう,<でいしゃがこう>,泥車瓦狗,役に立たないもののこと。「泥車」は泥で作られた車。「瓦狗」は瓦で作られた犬。,0,0
77,5,ばんしょせんちん,<ばんしょせんちん>,万杵千砧,きぬたを打つたくさんの女性。または、いろんなところから聞こえるきぬたの音。「万」と「千」は数が多いことのたとえ。「杵」はきぬたを打つための棒。「砧」は布を叩いて柔らかくして、つやを出すための石や木の台。,0,0
83,5,あんしゃほりん,<あんしゃほりん>,安車蒲輪,老人をいたわり、丁重にもてなすこと。「安車」は老人や妊婦が座れるように仕立てられた小車のこと。「蒲輪」は蒲の穂で車輪を包み、振動を抑えて乗り心地をよくしたもの。,0,0
92,5,はくいしゅくせい,<はくいしゅくせい>,伯夷叔斉,私欲がなく清らかな人格の人のたとえ。「伯夷」と「叔斉」はどちらも人の名前。,0,0
98,5,ときえんばく,<ときえんばく>,兎葵燕麦,名前と実体が伴っていないこと。「兎葵」は植物のいえにれ。「燕麦」は植物のからすむぎ。名前に「葵」や「麦」があるが、実際には違うということから。,0,0
99,5,ばんこんさくせつ,<ばんこんさくせつ>,盤根錯節,事情が複雑で解決することが難しいこと。「槃根」は曲がりくねった木の根のこと。「錯節」は入り組んだ木の節のこと。,0,0
100,5,いっしはんせん,<いっしはんせん>,一紙半銭,ごくわずかなことのたとえ。「一紙」は一枚の紙のこと。「半銭」は半文の銭のこと。,0,0
110,5,きゅうぼくふんど,<きゅうぼくふんど>,朽木糞土,やる気がなく、だらしない人を教育することはできないということのたとえ。または、役に立たないもののたとえ。腐ってぼろぼろになっ木と土壁ということで、腐った木材に彫刻することはできず、腐った土壁に上塗りをすることはできないという意味。,0,0
111,5,はんげきふんじょう,<はんげきふんじょう>,繁劇紛擾,多忙を極めて、混乱すること。「繁劇」は多忙を極める。「紛擾」はまとまりがなく、わけがわからなくなること。,0,0
123,5,きょしんたんかい,<きょしんたんかい>,虚心坦懐,-,0,0
124,5,ちゅうざんしゃかい,<ちゅうざんしゃかい>,鋳山煮海,たくさんの財産を蓄えること。または、山や海の資源が豊かなこと。「鋳山」は山から銅を採掘して銅貨を作ること。「煮海」は海水を煮て塩を作ること。,0,0
125,5,ちょうひょうがし,<ちょうひょうがし>,凋氷画脂,苦労するだけで、なんの成果も得られないこと。氷に彫刻して、脂に絵を描くという意味で、どちらも跡形も無くなるということから。,0,0
126,5,こうはがてつ,<こうはがてつ>,侯覇臥轍,善政を行った立派な人物の留任を願って、引き止めること。「侯覇」は中国の後漢の人の名前。「臥轍」は車の通り道で、人が伏して通れなくすること。,1,0
135,5,ろっこんせいじょう,<ろっこんせいじょう>,六根清浄,欲望や迷いを断ち切り、心と体を清らかにすること。「六根」は仏教で煩悩や迷いなどの元になるとされる六つの器官のことで、眼・耳・鼻・舌・身・意のことをいう。「清浄」は煩悩や迷いなどを捨てて、汚れがなく清らかなこと。,0,0
136,5,てっちょうせきしん,<てっちょうせきしん>,鉄腸石心,鉄や石のように固く強い心と意志のこと。,0,0
137,5,かとらくしょ,<かとらくしょ>,河図洛書,非常に珍しく、価値のある書物のこと。「河図」は、『易経』の八卦の元になったとされる図で、中国の伏羲の時代に黄河から現れた竜馬の背中にあった、渦巻いた毛の模様を写し取ったものとされている。「洛書」は、『書経』の「洪範伝」の元になったとされる文で、夏の禹王の時代に、洛水という川の洪水を治めた後に現れた神亀の背中に記されていた文字を書き写したものとされている。,0,0
138,5,きゅうそごうびょう,<きゅうそごうびょう>,窮鼠噛猫,弱者でも追い詰められて必死になれば、予期していない力をだして、強者を倒すことがあるということのたとえ。,0,0
139,5,しょじょだっと,<しょじょだっと>,処女脱兎,兵法の一つで、始めのうちは大したことのないように見せて相手を油断させ、後にものすごい勢いを発揮することのたとえ。「処女」は家にいる少女という意味から、未婚の少女のこと。「脱兎」は逃げる兎。,0,0
140,5,めいせんけっき,<めいせんけっき>,鳴蝉潔飢,気高く清らかな心を持つ者は、いかなる状況でも信念を曲げないことのたとえ。蝉は気高い心を持ち、たとえ飢えても露以外のものを口にしないという伝説に由来する。,0,0
141,5,きゃっかしょうこ,<きゃっかしょうこ>,脚下照顧,他人の批判をする前に、自分の過去の言動を見つめ直してよく考えるべきであるという自己反省の教え。,0,0
142,5,にょぜがもん,<にょぜがもん>,如是我聞,仏教で経文の冒頭に記される定型の言葉。「私はこのようにお聞きしました」という意味。,0,0
143,5,りゅうあんかめい,<りゅうあんかめい>,柳暗花明,「柳暗」は柳が茂って薄暗いこと、「花明」は花が明るく咲くことから、春の美しい景観の形容。または、芸者や遊女の社会のこと。,0,0
144,5,しんこうきふ,<しんこうきふ>,神工鬼斧,人の技術で作られたとは思えない素晴らしい作品のこと。神が細工を施したような、鬼神が斧をふるって作ったような作品という意味から。,0,0
145,5,こうはつはは,<こうはつはは>,黄髪番番,白髪が黄色がかるほどに歳老いた老人のこと。知識や経験を重ねた老人をいう言葉。「黄髪」は黄色がかった白髪ということから、老人のたとえ。「番番」は白髪のこと。,0,0
146,5,しゅれんへきごう,<しゅれんへきごう>,珠聯璧合,才能のある多くの人材が一つのところに集まること。または、結婚を祝う言葉。,0,0
147,5,せきざんすんすい,<せきざんすんすい>,尺山寸水,高い山の上から見下ろした景色。「尺」と「寸」はどちらも長さの単位で、どちらも短い長さのたとえ。上から見た他の山や川が小さく見えるということから。,0,0
148,5,おんじんりく,<おんじんりく>,遠塵離垢,けがれから遠ざかり、煩悩から離れること。,0,0
149,5,しゅっこくせんきょう,<しゅっこくせんきょう>,出谷遷喬,出世すること。「遷喬」は高い木に移ること。鳥が谷から出てきて高い木に移るということから、高い地位を手に入れることのたとえ。,0,0
167,5,しょうしじだい,<せいしじだい>,生死事大,生か死かは最も大切な問題だが、今生きていることが最も大切であるということ。,0,0
168,5,じゅうていちょうせき,<じゅうていちょうせき>,獣蹄鳥跡,世の中が酷く乱れていること。「獣蹄」は獣の足跡。獣や鳥の足跡が町中に溢れるという意味から。,0,0
18,6,てんまつ,経緯⇔<てんまつ>,顛末,-,1,0
33,6,きゅうきゅう,悠悠⇔<きゅうきゅう>,汲汲,-,1,0
34,6,はいち,遵奉⇔<はいち>,背馳,-,1,0
60,6,しだん,排撃＝<しだん>,指弾,-,0,0
61,6,けんがい,絶壁=<けんがい>,懸崖,-,0,0
62,6,りゅうしょう,繁栄=<りゅうしょう>,隆昌,-,0,0
63,6,ちぎ,童心=<ちぎ>,稚気,-,0,0
69,6,うぐ,賢明⇔<うぐ>,迂愚,-,0,0
88,6,こぎ,敢行⇔<こぎ>,狐疑, 相手が悪意を持っているのではないかと疑うこと。猜疑(さいぎ)心を持つこと。,0,0
89,6,ちし,出仕⇔<ちし>,致仕,官職を退いて引退すること。,0,0
90,6,じんじつ,終日=<じんじつ>,尽日,一日じゅう。終日。,0,0
101,6,りゅうべつ,送別⇔<りゅうべつ>,留別,旅立つ人が、あとに残る人に別れを告げること。,0,0
102,6,いつび,過褒=<いつび>,溢美,褒めすぎること。過賞。,0,0
103,6,けいてい,懸隔=<けいてい>,径庭,二つのものが大きくかけはなれていること。かけへだて。へだたり。相違。懸隔。,0,0
104,6,けいごう,符号=<けいごう>,契合,合わせた割り符のようにぴったり一致すること。「両者の意見が契合する」,0,0
112,6,りゅうたい,消長=<りゅうたい>,隆替,盛んになることと衰えること。栄えたり衰えたりすること。,0,0
113,6,かいい,頓着=<かいい>,介意,意に介すること。気にかけること。心にとめること。,0,0
117,6,ふうたい,正味⇔<ふうたい>,風袋,１ はかりで物の重さを量るとき、それを入れてある容器・袋・箱など。「風袋こみの目方」２ 実質に対しての外観。うわべ。見かけ。「風袋ばかりりっぱな人」,0,0
127,6,がりょう,襟度（きんど）=<がりょう>,雅量,人をよく受け入れるおおらかな心。「雅量に富む人」「雅量を示す」,0,0
150,6,そうせい,民草=<そうせい>,蒼生,多くの人々。人民。あおひとぐさ。蒼氓（そうぼう）。,0,0
157,6,じゅうご,前線⇔<じゅうご>,銃後,-,0,0
169,6,ちんとう,斬新⇔<ちんとう>,陳套,きまりきっていて古くさいこと。また、そのさま。陳腐。旧套。,0,0
19,7,ひがめ,親の欲目と他人の<ひがめ>,僻目,親は自分の子を贔屓目に見るが、他人は実際よりも厳しい評価をする傾向があること。,3,0
20,7,さぎ,<さぎ>を烏と言いくるめる,鷺,明らかに間違っていることを、正しいと主張して無理やり押し通すこと。,2,0
35,7,りか,<りか>一枝春雨を帯ぶ。,梨花,美しい人が悲しむ姿のたとえ。,2,0
36,7,きんゆう,遠慮なければ<きんゆう>あり,近憂,将来のことを考えず目先のことに気をとられていると、必ず近いうちに心配事が起こる。,1,0
37,7,ちょうもん,<ちょうもん>の一針。,頂門,急所をついて厳しく戒めること。,1,0
38,7,ひんせん,<ひんせん>も移す能わず。,貧賤,どんなに貧しい境遇でも、固い意思を持っていてその行いを変えることがないということ。,1,0
64,7,しゅせい,創業は易く<しゅせい>は難し。,守成,-,0,0
65,7,かせい,百年<かせい>を俟つ。,河清,いつまで待っても無駄だということ。実現不可能なことを期待すること。,0,0
66,7,らんぼう,人を犯す者は<らんぼう>の患いあり。,乱亡,人に危難を与える者は、その報いで身を滅ぼすことになるということ。,0,0
70,7,うど,<うど>の大木,独活,-,0,0
114,7,ぜんこう,天地<ぜんこう>無し。,全功,天地（大自然）でさえ、完全無欠なものは何一つない。,0,0
115,7,とうこ,<とうこ>の筆。,董狐,権勢に屈せず、ありのままに歴史を記すこと。中国、晋(シン)の霊公(レイコウ)が、趙穿(チョウセン)に殺されたとき、執政の大臣で同じく趙一族の趙盾(チョウトン)が趙穿を討伐しなかったことを、当時の晋の史官の董狐が、趙盾に罪があるとして「趙盾、その君を殺す」と記録した故事から。,0,0
151,7,りじ,大声<りじ>に入らず。,里耳,高尚な理論は俗人にはなかなか理解されにくいということ。「大声」は高尚な音楽、「里耳」は俗人の耳のこと。,0,0
152,7,きんきょ,人古今に通ぜざるは馬牛にして<きんきょ>す。,襟裾,古今の道理を解さない無学な人は、馬や牛が衣服を着たようなもので、人としての価値がない。,0,0
158,7,ぐこう,<ぐこう>山を移す。,愚公,どんなに困難なことでも努力を続ければ、やがては成就するというたとえ。,0,0
159,7,ごすい,天上の<ごすい>人間の一炊。,五衰,天人(てんにん)の死が近づく時に現われる五つの死相。天人の五衰。,0,0
160,7,こしょう,<こしょう>鳴らし難し。,孤掌,《片方の手のひらだけでは、手を打ち鳴らせないところから》人間は一人だけでは生きられないこと、事をなしとげられないことのたとえ。,0,0
170,7,そうか,累々として<そうか>の狗のごとし。,喪家,不幸のあった家で、家人が悲しみのあまりえさをやるのを忘れ、元気のなくなった犬。転じて、ひどくやつれて元気のない人。一説に、宿なしになった犬の意とも。,0,0
173,1,禰祖,父と祖父の御霊屋を<禰祖>という。,でいそ,-,0,0
174,3,卦兆・卦い,<卦兆>・<卦い>,かちょう・うらない,-,0,0
175,4,とくがく,知る人ぞ知る<とくがく>の士である。,篤学,-,0,0
176,4,こんとく,<こんとく>な御言葉を賜った。,懇篤,懇切丁寧で、心がこもっていること。,0,0
177,4,ものすごい,<ものすごい>人手だった。,物凄い,-,0,0
178,5,がいかんじてい,<がいかんじてい>,蓋棺事定,その人の生前の評価はあてにならず、死後になってはじめて定まること。,0,0
179,6,わぼく,抗争⇔<わぼく>,和睦,-,0,0
180,4,どうけい,<どうけい>を抱く。,憧憬,-,0,0
181,1,階梯,幾多の<階梯>を経る。,かいてい,１ 学問・芸術などの手ほどき。また、それを説いた書物。入門書。「英語階梯」２ 学問・芸術などを学ぶ段階。また、物事の発展の過程。,0,0
182,7,きこ,<きこ>の勢い。,騎虎,虎に乗った者は途中で降りると虎に食われてしまうので降りられないように、やりかけた物事を、行きがかり上途中でやめることができなくなることのたとえ。,0,0
183,1,婁宿,<婁宿>の清朗なる夜に月を翫ぶ。,ろうしゅく,インド発祥の占星術である「宿曜占星術（27宿）」や、天文学の「二十八宿」の一つ,0,0
184,2,攻める,宗匠について俳諧の道を<攻める>。,おさめる,-,0,0
185,6,そこつ,不調法=<そこつ>,粗忽,-,0,0
186,7,のうじ,<のうじ>畢われり。,能事,自分のなすべきことは全部終わった。能事足れり。,0,0
187,7,たいかん,<たいかん>は忠に似たり。,大姦,大悪人は、自分の本性を隠したくみに振る舞うので、いかにも忠臣のように見えるということ。,0,0
188,5,こうけんようふ,<こうけんようふ>,黄絹幼婦,二人の判断が完全に同じになること。または、物事を正確に理解すること。または、「絶妙」という言葉の隠語。または、素晴らしい文章のたとえ。「黄絹」は色のついている糸という意味で、漢字の「絶」のこと。「幼婦」は少女という意味で、漢字の「妙」のこと。,0,0
189,5,ていえいそうかん,<ていえいそうかん>,鄭衛桑間,国を滅亡に導くほどの下品で淫靡な音楽のこと。「鄭」と「衛」は中国春秋時代の国名。「桑間」は衛の地名。両国の音楽はみだらなものであったとされていることから。「鄭衛之音」ともいう。,0,0
190,5,たいざんりょうぼく,<たいざんりょうぼく>,泰山梁木,立派で優れている人物のこと。「泰山頽れ梁木壊る」という言葉を略したもので、孔子が自身の死を予見して歌ったとされ、立派で優れている人物の死を意味するようになった。「泰山」は中国の山東省にある山の名前。「梁木」は屋根を支えている長く太い木、梁のこと。,0,0
191,5,てんぽうきゅうじょ,<てんぽうきゅうじょ>,天保九如,長生きすることを願う言葉。「天保」は『詩経』の「小雅」の中にある篇の名前で、天子の長寿と平安を祈る詩。「九如」は「天保」の中で「如」の文字が九つ使われているということ。,0,0
